date,dead,injured,lon,lat
2019-11-22,0,0,17.829094,59.614677
2019-11-23,0,0,17.924606,59.407707
2019-11-24,0,0,14.808154,56.853547
2019-11-25,0,1,15.580401,58.42433
2019-11-25,0,0,18.224081,59.238881
2019-11-28,0,1,18.017837,59.257392
2019-11-29,0,0,13.04262,55.576627
2019-12-01,0,0,16.542409,59.624462
2019-12-01,0,0,12.923064,57.723292
2019-12-02,1,0,13.01925,55.568163
2019-12-03,0,1,16.538679,59.348773
2019-12-03,0,1,16.606418,59.628184
2019-12-03,0,0,14.798117,56.890364
2019-12-04,0,1,16.213291,59.001934
2019-12-05,2,0,16.181945,58.59445
2019-12-05,0,0,14.135342,56.018717
2019-12-05,1,0,13.056742,55.611903
2019-12-06,0,0,14.153745,56.057481
2019-12-08,0,0,17.514333,59.578871
2019-12-08,0,0,16.53816,59.647864
2019-12-09,0,1,17.92787,59.384271
2019-12-12,0,1,13.787273,56.170338
2019-12-12,1,0,17.253527,62.391272
2019-12-13,0,1,16.506242,59.608717
2019-12-13,0,1,17.642862,59.862042
2019-12-13,0,0,17.949425,59.429613
2019-12-15,0,1,17.552306,59.845861
2019-12-19,0,1,17.603514,59.838569
2019-12-19,0,0,12.743673,56.029866
2019-12-19,1,0,14.15539,56.055695
2019-12-21,0,0,12.853648,55.985994
2019-12-22,0,1,12.728483,56.015207
2019-12-23,0,0,12.957337,55.995844
2019-12-25,0,0,22.103024,65.573763
